ASSET_ID,RELEASE_YEAR,MPAA_RATING,GENRE,IMDB_RATING,IMDB_RANKING,IMDB_VOTES,Oscar-Nomination,Oscar-Wins,Other - Nominations,Other - Wins,TOMATO_METER,TOMATO_RATING,TOMATO_REVIEWS,TOMATO_FRESH,TOMATO_ROTTEN,TOMATO_USER_METER,TOMATO_USER_RATINGS,TOMATO_USER_REVIEWS,TOMATO_IMAGE,BOX_OFFICE_EARNINGS
197862,1976,R,"Crime, Thriller",7.5,N/A,"41,060",1,0,9,4,80,7.3,35,28,7,82,3.7,22093,fresh,NULL
180318,2005,N/A,"Crime, Drama, Mystery",6.7,N/A,911,0,0,0,0,N/A,N/A,N/A,N/A,N/A,71,3.6,515,N/A,NULL
171798,1995,R,"Comedy, Drama",6.3,61,"9,186",0,0,2,1,73,6,33,24,9,69,3.2,35107,fresh,NULL
194243,1998,R,"Crime, Thriller",7.8,77,152952,0,0,17,31,93,7.7,80,74,6,90,3.8,143165,certified,NULL
185271,2002,N/A,Documentary,7.6,78,632,0,0,3,7,94,8,16,15,1,83,3.7,1199,fresh,NULL
196210,1997,R,"Comedy, Drama, Crime",6.3,N/A,685,0,0,9,1,N/A,N/A,N/A,N/A,N/A,50,3.1,101,N/A,NULL
174427,2003,R,"Comedy, Crime, Drama",6,N/A,"1,841",0,0,0,0,67,6.2,6,4,2,49,3.1,2011,fresh,NULL
172757,1997,R,Comedy,7.6,71,"21,871",0,0,3,2,91,7.8,54,49,5,91,3.9,41260,certified,NULL
197301,1998,R,"Action, Crime, Thriller",6.6,37,119261,0,0,10,4,52,5.8,66,34,32,64,3.3,253991,rotten,NULL
198125,2011,PG,Comedy,6.2,53,"32,174",0,0,0,0,40,5,102,41,61,40,3,21250,rotten,"$7,200,000"
191707,2009,PG-13,"Comedy, Romance",5.3,32,"25,775",0,0,1,1,14,3.4,116,16,100,32,2.6,264142,rotten,"$141,200,000"
204080,2006,PG-13,"Comedy, Crime",4.5,34,"28,954",0,0,4,1,6,3.1,71,4,67,58,3.3,564532,rotten,"$70,100,000"
185438,2007,R,"Crime, Drama, Thriller",6.8,56,"48,841",0,0,7,1,43,5.5,182,78,104,64,3.4,274279,rotten,"$36,800,000"
191058,2006,R,"Crime, Drama, Thriller",8.5,86,761506,4,4,86,102,91,8.2,262,238,24,94,4.1,731024,certified,"$132,300,000"
198198,2011,NC-17,Drama,7.3,72,129847,0,0,79,54,79,7.4,197,155,42,75,3.7,29604,certified,"$4,000,000"
173581,2007,R,"Drama, Mystery, Thriller",6.1,49,"20,612",1,0,3,4,33,5,147,48,99,34,2.9,36597,rotten,"$900,000"
204229,2009,R,"Comedy, Crime, Drama",5.8,54,"50,115",0,0,4,1,51,5.5,200,102,98,37,2.5,641436,rotten,"$24,000,000"
195428,2005,R,Horror,6.3,71,"74,896",0,0,12,2,74,6.6,171,126,45,51,3.1,137055,certified,"$20,400,000"
201708,2010,R,"Action, Comedy, Romance",5.4,43,"33,830",0,0,1,0,47,5.1,132,62,70,34,2.6,119838,rotten,"$8,000,000"
173707,2003,PG-13,"Action, Crime, Drama",6.6,56,106047,0,0,2,0,43,5.6,165,71,94,59,3.2,109901,rotten,"$52,700,000"
173842,2002,R,"Crime, Drama, Thriller",6,57,"4,278",0,0,0,0,47,5.5,66,31,35,46,3.1,3359,rotten,"$300,000"
174124,2005,R,"Biography, Drama, Music",5.8,67,"18,124",0,0,3,1,57,5.9,115,65,50,50,3,22824,rotten,"$400,000"
181156,2004,PG-13,"Comedy, Drama, Romance",6.5,48,"61,595",0,0,10,5,53,5.9,165,87,78,61,3,200412,rotten,"$42,000,000"
202892,2008,PG,"Animation, Action, Adventure",7.6,73,265062,1,0,31,18,87,7.2,178,155,23,82,3.9,581990,certified,"$215,400,000"
182595,1961,UNRATED,"Crime, Drama, Romance",8,N/A,"46,737",0,0,3,4,97,8.7,58,56,2,90,4.1,37970,certified,"$400,000"
197853,2006,R,Drama,7.5,69,227715,1,1,107,47,69,6.7,195,135,60,77,3.5,375887,fresh,"$34,200,000"
180389,2006,R,"Comedy, Drama, Romance",7.3,66,"60,226",0,0,1,1,87,7.1,112,97,15,84,3.8,191962,certified,"$4,900,000"
198209,2011,PG,"Comedy, Drama, Family",7.1,58,101671,0,0,7,1,66,6.3,153,101,52,72,3.8,131153,fresh,"$75,600,000"
185337,2006,PG,"Drama, Sport",7.1,53,"42,764",0,0,1,0,49,5.8,124,61,63,79,3.6,202399,rotten,"$43,500,000"
